ClusterAlgorithm;DistanceFunction;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;k;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
Neural Gas;EuclideanDistance;true;false;true;false;14;83.5216;0.0;90.8512;0.0;0.0438;0.0;14.52
ClusterART;Not needed;false;true;false;false;25;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1838.5
Neural Gas;EuclideanDistance;true;false;true;false;15;82.107;0.0;90.51830000000001;0.0;0.042300000000000004;0.0;16.91
ClusterART;Not needed;false;true;false;false;26;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1712.03
Neural Gas;EuclideanDistance;true;false;true;false;16;83.1554;0.0;91.2564;0.0;0.0356;0.0;17.32
ClusterART;Not needed;false;true;false;false;27;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1994.95
Neural Gas;EuclideanDistance;true;false;true;false;17;85.3044;0.0;97.3609;0.0;0.0408;0.0;20.32
ClusterART;Not needed;false;true;false;false;28;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;2058.79
Neural Gas;EuclideanDistance;true;false;true;false;18;85.0432;0.0;99.2189;0.0;0.009300000000000001;0.0;19.43
ClusterART;Not needed;false;true;false;false;29;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1810.9
Neural Gas;EuclideanDistance;true;false;true;false;19;84.37780000000001;0.0;94.01060000000001;0.0;-0.0103;0.0;20.77
ClusterART;Not needed;false;true;false;false;3;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1540.63
Neural Gas;EuclideanDistance;true;false;true;false;2;126.6644;0.0;76.4564;0.0;0.1621;0.0;2.24
ClusterART;Not needed;false;true;false;false;30;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1967.28
Neural Gas;EuclideanDistance;true;false;true;false;20;94.2669;0.0;108.0364;0.0;0.012;0.0;21.78
Neural Gas;EuclideanDistance;true;false;true;false;21;91.89160000000001;0.0;106.25240000000001;0.0;0.022000000000000002;0.0;21.24
ClusterART;Not needed;false;true;false;false;4;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1790.54
Neural Gas;EuclideanDistance;true;false;true;false;22;81.7418;0.0;101.8386;0.0;-0.004200000000000001;0.0;22.76
