ClusterAlgorithm;DistanceFunction;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;k;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;false;true;false;false;27;72.4175;0.0;42.0858;0.0;0.1288;0.0;1848.46
Neural Gas;EuclideanDistance;true;false;true;false;18;47.4138;0.0;56.892;0.0;0.1311;0.0;12.88
ClusterART;Not needed;false;true;false;false;28;72.4175;0.0;42.0858;0.0;0.1288;0.0;1122.68
Neural Gas;EuclideanDistance;true;false;true;false;19;41.7361;0.0;49.9889;0.0;0.0726;0.0;12.89
ClusterART;Not needed;false;true;false;false;29;72.4175;0.0;42.0858;0.0;0.1288;0.0;1243.93
Neural Gas;EuclideanDistance;true;false;true;false;2;76.38080000000001;0.0;45.2235;0.0;0.1487;0.0;1.09
ClusterART;Not needed;false;true;false;false;3;72.4175;0.0;42.0858;0.0;0.1288;0.0;1026.85
Neural Gas;EuclideanDistance;true;false;true;false;20;41.9611;0.0;62.8453;0.0;0.16790000000000002;0.0;11.1
ClusterART;Not needed;false;true;false;false;30;72.4175;0.0;42.0858;0.0;0.1288;0.0;1120.01
Neural Gas;EuclideanDistance;true;false;true;false;21;42.403800000000004;0.0;51.2763;0.0;0.12440000000000001;0.0;11.95
ClusterART;Not needed;false;true;false;false;4;72.4175;0.0;42.0858;0.0;0.1288;0.0;1636.95
Neural Gas;EuclideanDistance;true;false;true;false;22;36.4421;0.0;51.7352;0.0;0.0915;0.0;11.79
ClusterART;Not needed;false;true;false;false;5;72.4175;0.0;42.0858;0.0;0.1288;0.0;971.23
Neural Gas;EuclideanDistance;true;false;true;false;23;39.821600000000004;0.0;46.924800000000005;0.0;0.11810000000000001;0.0;12.77
ClusterART;Not needed;false;true;false;false;6;72.4175;0.0;42.0858;0.0;0.1288;0.0;977.88
Neural Gas;EuclideanDistance;true;false;true;false;24;32.581700000000005;0.0;52.3769;0.0;0.027200000000000002;0.0;13.02
ClusterART;Not needed;false;true;false;false;7;72.4175;0.0;42.0858;0.0;0.1288;0.0;1099.09
Neural Gas;EuclideanDistance;true;false;true;false;25;33.9773;0.0;44.4699;0.0;0.0702;0.0;14.85
ClusterART;Not needed;false;true;false;false;8;72.4175;0.0;42.0858;0.0;0.1288;0.0;1213.68
Neural Gas;EuclideanDistance;true;false;true;false;26;31.916800000000002;0.0;62.9209;0.0;0.0785;0.0;15.54
ClusterART;Not needed;false;true;false;false;9;72.4175;0.0;42.0858;0.0;0.1288;0.0;1700.72
Neural Gas;EuclideanDistance;true;false;true;false;27;32.5597;0.0;44.3358;0.0;0.0795;0.0;15.7
